CMAES_ACC gen=0 loss=0.8173473381 acc=0.2564324964
CMAES_ACC gen=1 loss=0.8170168846 acc=0.2585467535
CMAES_ACC gen=2 loss=0.8155921255 acc=0.2582528698
CMAES_ACC gen=3 loss=0.8103914196 acc=0.2660557486
CMAES_ACC gen=4 loss=0.8042917827 acc=0.2720341611
CMAES_ACC gen=5 loss=0.8016697760 acc=0.2773638244
CMAES_ACC gen=6 loss=0.7964332497 acc=0.2835809894
CMAES_ACC gen=7 loss=0.7912993530 acc=0.2908386728
CMAES_ACC gen=8 loss=0.7912251052 acc=0.2911172395
CMAES_ACC gen=9 loss=0.7909502565 acc=0.2908386728
CMAES_ACC gen=10 loss=0.7908046672 acc=0.2911172395
CMAES_ACC gen=11 loss=0.7907742336 acc=0.2911172395
CMAES_ACC gen=12 loss=0.7907642160 acc=0.2911172395
CMAES_ACC gen=13 loss=0.7907642160 acc=0.2911172395
CMAES_ACC gen=14 loss=0.7868999657 acc=0.2971157995
CMAES_ACC gen=15 loss=0.7868999657 acc=0.2971157995
CMAES_ACC gen=16 loss=0.7863709888 acc=0.2971157995
CMAES_ACC gen=17 loss=0.7863709888 acc=0.2971157995
CMAES_ACC gen=18 loss=0.7860396140 acc=0.2971157995
CMAES_ACC gen=19 loss=0.7859617690 acc=0.2971281032
CMAES_ACC gen=20 loss=0.7859617690 acc=0.2971281032
CMAES_ACC gen=21 loss=0.7856006437 acc=0.2971281032
CMAES_ACC gen=22 loss=0.7849138610 acc=0.2986007312
CMAES_ACC gen=23 loss=0.7849138610 acc=0.2986007312
CMAES_ACC gen=24 loss=0.7845819632 acc=0.2986007312
CMAES_ACC gen=25 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=26 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=27 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=28 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=29 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=30 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=31 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=32 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=33 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=34 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=35 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=36 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=37 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=38 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=39 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=40 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=41 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=42 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=43 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=44 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=45 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=46 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=47 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=48 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=49 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=50 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=51 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=52 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=53 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=54 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=55 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=56 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=57 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=58 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=59 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=60 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=61 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=62 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=63 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=64 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=65 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=66 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=67 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=68 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=69 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=70 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=71 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=72 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=73 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=74 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=75 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=76 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=77 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=78 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=79 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=80 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=81 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=82 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=83 loss=0.7844734991 acc=0.2986007312
CMAES_ACC gen=84 loss=0.7844734991 acc=0.2986007312
