CMAES_ACC gen=0 loss=0.9615074921 acc=0.3976137172
CMAES_ACC gen=1 loss=0.9574282601 acc=0.4144392373
CMAES_ACC gen=2 loss=0.9509233554 acc=0.4285020794
CMAES_ACC gen=3 loss=0.9448500202 acc=0.4486658977
CMAES_ACC gen=4 loss=0.9439753204 acc=0.4486658977
CMAES_ACC gen=5 loss=0.9430272929 acc=0.4499485003
CMAES_ACC gen=6 loss=0.9391167967 acc=0.4537995690
CMAES_ACC gen=7 loss=0.9375215469 acc=0.4537995690
CMAES_ACC gen=8 loss=0.9357845185 acc=0.4537995690
CMAES_ACC gen=9 loss=0.9340143905 acc=0.4600949894
CMAES_ACC gen=10 loss=0.9317848302 acc=0.4875312769
CMAES_ACC gen=11 loss=0.9271630853 acc=0.4842264243
CMAES_ACC gen=12 loss=0.9263115837 acc=0.4842264243
CMAES_ACC gen=13 loss=0.9263115837 acc=0.4842264243
CMAES_ACC gen=14 loss=0.9263115837 acc=0.4842264243
CMAES_ACC gen=15 loss=0.9261618605 acc=0.4842264243
CMAES_ACC gen=16 loss=0.9261618605 acc=0.4842264243
CMAES_ACC gen=17 loss=0.9261618605 acc=0.4842264243
CMAES_ACC gen=18 loss=0.9258528480 acc=0.4842264243
CMAES_ACC gen=19 loss=0.9258528480 acc=0.4842264243
CMAES_ACC gen=20 loss=0.9258528480 acc=0.4842264243
CMAES_ACC gen=21 loss=0.9258435287 acc=0.4842264243
CMAES_ACC gen=22 loss=0.9258435287 acc=0.4842264243
CMAES_ACC gen=23 loss=0.9258331131 acc=0.4842264243
CMAES_ACC gen=24 loss=0.9258331131 acc=0.4842264243
CMAES_ACC gen=25 loss=0.9244096407 acc=0.4842264243
CMAES_ACC gen=26 loss=0.9244096407 acc=0.4842264243
CMAES_ACC gen=27 loss=0.9244096407 acc=0.4842264243
CMAES_ACC gen=28 loss=0.9242883437 acc=0.4842264243
CMAES_ACC gen=29 loss=0.9242883437 acc=0.4842264243
CMAES_ACC gen=30 loss=0.9242883437 acc=0.4842264243
CMAES_ACC gen=31 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=32 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=33 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=34 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=35 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=36 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=37 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=38 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=39 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=40 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=41 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=42 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=43 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=44 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=45 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=46 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=47 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=48 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=49 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=50 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=51 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=52 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=53 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=54 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=55 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=56 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=57 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=58 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=59 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=60 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=61 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=62 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=63 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=64 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=65 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=66 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=67 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=68 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=69 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=70 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=71 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=72 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=73 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=74 loss=0.9242646215 acc=0.4842264243
CMAES_ACC gen=75 loss=0.9242646215 acc=0.4842264243
